,search_trends_fever,search_trends_low_grade_fever,search_trends_chills,search_trends_cough,search_trends_shallow_breathing,search_trends_shortness_of_breath,search_trends_fatigue,search_trends_muscle_weakness,search_trends_cluster_headache,search_trends_headache,search_trends_sore_throat,search_trends_nasal_congestion,search_trends_nausea,search_trends_vomiting,search_trends_diarrhea,date,location_key
9029,4.17,0.09,0.27,3.52,0.15,1.05,5.66,0.19,0.24,4.14,1.41,1.12,1.84,2.41,3.81,2020-06-04,GB
9030,4.12,0.08,0.29,3.31,0.05,1.01,5.3,0.16,0.2,4.21,1.39,0.92,1.87,2.33,3.71,2020-06-05,GB
9031,3.74,0.09,0.22,3.17,0.05,0.93,5.62,0.15,0.21,4.62,1.4,1.04,1.96,2.62,3.67,2020-06-06,GB
9032,3.93,0.06,0.32,3.25,0.05,1.09,6.2,0.2,0.26,4.72,1.46,1.11,2.05,2.62,3.86,2020-06-07,GB
9033,4.18,0.09,0.31,3.4,0.08,0.97,6.32,0.17,0.26,4.61,1.38,0.95,2.11,2.74,3.84,2020-06-08,GB
9034,4.35,0.07,0.24,3.29,0.08,0.97,6.08,0.17,0.26,4.43,1.45,1.22,2.0,2.42,3.71,2020-06-09,GB
9035,4.17,0.08,0.29,3.46,0.07,1.07,6.0,0.2,0.34,4.57,1.51,1.03,2.09,2.51,3.61,2020-06-10,GB
9036,3.77,0.05,0.23,3.39,0.12,0.95,5.93,0.15,0.24,4.36,1.29,0.91,1.86,2.49,3.62,2020-06-11,GB
9037,3.68,0.09,0.2,3.21,0.07,1.08,5.57,0.23,0.24,4.42,1.29,1.0,1.94,2.42,3.6,2020-06-12,GB
9038,3.93,0.1,0.21,3.06,0.07,0.86,5.78,0.34,0.25,4.84,1.44,1.38,2.03,2.7,3.55,2020-06-13,GB
9039,3.77,0.07,0.2,3.18,0.09,0.99,6.34,0.21,0.22,4.71,1.33,1.45,2.01,2.67,3.78,2020-06-14,GB
9040,4.27,0.08,0.21,2.98,0.05,0.96,6.16,0.2,0.23,4.39,1.25,1.24,1.78,2.34,3.76,2020-06-15,GB
9041,4.19,0.09,0.2,3.28,0.06,0.97,6.26,0.18,0.31,4.52,1.3,1.2,1.82,2.48,3.79,2020-06-16,GB
9042,3.95,0.09,0.26,3.05,0.08,0.84,6.2,0.25,0.23,4.49,1.29,0.96,1.88,2.3,3.86,2020-06-17,GB
9043,3.61,0.09,0.19,3.03,0.1,0.98,5.92,0.17,0.22,4.06,1.34,0.87,1.85,2.41,3.81,2020-06-18,GB
9044,3.42,0.06,0.18,3.03,0.08,0.91,5.63,0.2,0.25,4.2,1.28,0.91,1.92,2.59,3.64,2020-06-19,GB
9045,3.26,0.11,0.26,2.7,0.06,0.79,5.53,0.16,0.2,4.5,1.29,1.23,1.96,2.59,3.65,2020-06-20,GB
9046,3.63,0.09,0.28,3.29,0.06,0.9,5.84,0.16,0.21,4.75,1.43,1.3,2.08,2.89,3.9,2020-06-21,GB
9047,3.97,0.13,0.19,3.07,0.08,0.91,6.46,0.2,0.3,4.49,1.36,1.19,2.04,2.66,3.97,2020-06-22,GB
9048,4.02,0.07,0.21,2.96,0.07,0.95,6.28,0.2,0.33,4.42,1.32,1.27,1.88,2.63,3.76,2020-06-23,GB
9049,4.16,0.1,0.23,2.92,0.09,0.96,5.81,0.21,0.24,4.38,1.12,1.22,1.73,2.33,3.88,2020-06-24,GB
9050,3.71,0.06,0.14,2.71,0.08,0.85,5.0,0.21,0.28,3.88,1.2,1.01,1.72,2.3,4.08,2020-06-25,GB
9051,3.79,0.08,0.18,3.01,0.06,0.97,5.41,0.15,0.22,3.89,1.3,0.92,1.69,2.34,4.12,2020-06-26,GB
9052,3.59,0.07,0.3,3.01,0.07,0.93,5.88,0.18,0.19,4.02,1.34,0.98,2.03,2.53,3.98,2020-06-27,GB
9053,3.38,0.05,0.26,3.14,0.09,0.94,6.19,0.21,0.21,4.21,1.42,1.02,2.25,2.9,4.18,2020-06-28,GB
